Teste pentru neoptimizat
Run=./tema3_neopt: N=400: Time=0.482666
Run=./tema3_neopt: N=800: Time=3.744148
Run=./tema3_neopt: N=1200: Time=11.947832
Run=./tema3_neopt: N=400: Time=0.477131
Run=./tema3_neopt: N=800: Time=3.765359
Run=./tema3_neopt: N=1200: Time=12.098604
Run=./tema3_neopt: N=400: Time=0.497557
Run=./tema3_neopt: N=800: Time=3.906512
Run=./tema3_neopt: N=1200: Time=12.679121
Run=./tema3_neopt: N=400: Time=0.477185
Run=./tema3_neopt: N=800: Time=3.743141
Run=./tema3_neopt: N=1200: Time=11.998327
Run=./tema3_neopt: N=400: Time=0.475987
Run=./tema3_neopt: N=800: Time=3.909432
Run=./tema3_neopt: N=1200: Time=12.152738
