Teste pentru blas
Run=./tema3_blas: N=400: Time=0.029393
Run=./tema3_blas: N=800: Time=0.188326
Run=./tema3_blas: N=1200: Time=0.591064
Run=./tema3_blas: N=400: Time=0.028160
Run=./tema3_blas: N=800: Time=0.187743
Run=./tema3_blas: N=1200: Time=0.588730
Run=./tema3_blas: N=400: Time=0.028254
Run=./tema3_blas: N=800: Time=0.186750
Run=./tema3_blas: N=1200: Time=0.589271
Run=./tema3_blas: N=400: Time=0.027564
Run=./tema3_blas: N=800: Time=0.183850
Run=./tema3_blas: N=1200: Time=0.591376
Run=./tema3_blas: N=400: Time=0.028080
Run=./tema3_blas: N=800: Time=0.185876
Run=./tema3_blas: N=1200: Time=0.595682
